Local Product Name (RAW),Local Pack Code (RAW),Generic Name (RAW),WHO ATC Code (RAW),Formulation (RAW),Strength Size (RAW),Fill Size (RAW),Customized 1 - Composition (RAW),Marketing Authority / Company Name (RAW),Effective Start Date (RAW),Effective End Date (RAW),Public with VAT Price (RAW),Pharmacy Purchase Price (RAW),Local Pack Description (RAW),Local Product Name (EN),Local Pack Code (EN),Generic Name (EN),WHO ATC Code (EN),Formulation (EN),Strength Size (EN),Fill Size (EN),Customized 1 - Composition (EN),Marketing Authority / Company Name (EN),Effective Start Date (EN),Effective End Date (EN),Public with VAT Price (EN),Pharmacy Purchase Price (EN),Local Pack Description (EN),Reimbursable Status,Reimbursable Rate,Reimbursable Notes,Copayment Value,Copayment Percent,Margin Rule,VAT Percent,detail_url
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3727632618?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/1675749905?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/50857?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2172528031?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2495885072?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/50858?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/2199564528?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3526839000?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3366650526?t:ac=overview
,,,,,,,,,,,,,,,,,,,,,,,,,,,,PARTIALLY REIMBURSABLE,80.00%,,,20.00%,650 PPP & PPI Listed,5,https://lekovi.zdravstvo.gov.mk/drugsregister:detaileddrug/3366650527?t:ac=overview
